,n,?,y
0,35.21672,30.26413,34.519146
1,34.398357,46.373554,19.228083
2,39.15962,30.457464,30.382923
3,35.045685,31.926779,33.02754
4,33.54941,32.873013,33.577576
5,36.251606,33.804817,29.943573
6,36.88699,36.664383,26.448626
7,33.609394,33.897205,32.493404
8,34.1289,34.055843,31.815258
9,35.96333,28.036282,36.000385
10,27.96099,41.537178,30.501831
11,47.972904,23.88214,28.144958
12,33.188168,33.410976,33.400856
13,34.2702,33.97849,31.75131
14,33.540504,32.880394,33.579098
15,34.000328,33.356487,32.64319
16,34.979366,33.271023,31.749607
17,29.341396,35.003716,35.65489
18,31.957235,33.721848,34.32092
19,32.68107,33.40006,33.918877
20,34.323376,31.162008,34.51461
21,35.49809,33.738174,30.763737
22,33.25918,34.703182,32.03764
23,33.944054,31.733683,34.322266
24,32.692726,31.460503,35.84677
25,33.246777,33.34877,33.40445
26,32.63163,26.136272,41.2321
27,34.406303,30.694052,34.89964
28,30.657446,25.566223,43.77633
29,32.347256,33.20947,34.443275
30,33.339462,32.77098,33.889557
31,29.69204,34.0634,36.244556
32,36.5588,31.860191,31.581005
33,33.17019,35.73347,31.096342
34,32.831703,33.822258,33.346035
35,34.853783,31.205776,33.940437
36,29.988855,34.678936,35.332207
37,38.13341,35.693233,26.173357
38,31.826073,33.326492,34.84743
39,33.833656,35.117695,31.048647
40,32.808258,33.361736,33.83001
41,35.467987,33.806244,30.72577
42,33.308743,30.994997,35.696266
43,25.881907,33.556545,40.56155
44,32.560207,33.943783,33.49601
45,33.47249,29.651552,36.875957
46,33.943584,32.04817,34.00825
47,33.846245,35.650944,30.502813
48,40.02504,29.001877,30.973085
49,34.635212,32.55756,32.80723
50,32.451794,32.901577,34.646626
51,30.479319,34.109413,35.41127
52,33.640953,31.075998,35.28305
53,32.214005,33.58497,34.20103
54,45.2024,19.356989,35.440617
55,32.924892,34.261467,32.81364
56,32.927723,39.89101,27.181265
57,34.729797,33.265095,32.005104
58,39.251823,26.667604,34.080578
59,33.47953,32.465607,34.054867
60,35.41744,30.885098,33.69747
61,29.295069,39.373962,31.330963
62,27.40271,41.738064,30.859226
63,30.882402,31.909737,37.207855
64,25.871096,29.599453,44.529446
65,34.861183,32.332684,32.80613
66,33.813393,33.142365,33.044243
67,35.878754,34.328114,29.793135
68,33.761917,32.37217,33.865917
69,29.730341,35.536457,34.733204
70,33.651146,32.63673,33.712128
71,32.503193,34.262535,33.234276
72,34.619625,30.763773,34.6166
73,32.207737,32.90008,34.892185
74,33.4752,31.312353,35.212444
75,33.848103,29.723225,36.428677
76,34.62438,29.88233,35.493286
77,34.938725,28.104357,36.95692
78,35.088463,34.02313,30.888409
79,33.859795,33.651096,32.48911
80,31.463879,35.033882,33.502243
81,33.7338,33.511684,32.754513
82,34.98131,33.025257,31.993425
83,33.24437,33.30359,33.452038
84,35.23264,29.925554,34.841805
85,31.719276,35.42014,32.86058
86,36.969265,25.03939,37.991344
87,34.849133,33.607994,31.542877
88,37.001198,31.5105,31.488308
89,34.23337,33.453983,32.312645
90,33.0602,33.858444,33.081364
91,35.628735,36.780952,27.590317
92,32.777134,34.270626,32.952244
93,34.76877,34.274628,30.956606
94,32.226227,33.560734,34.213036
95,44.574856,16.637274,38.787865
96,35.12937,29.47222,35.39841
97,31.471952,33.495377,35.032673
98,37.585094,31.50408,30.91083
99,34.47437,32.70201,32.823624
100,34.415813,32.447857,33.136333
101,28.229336,26.326704,45.443962
102,33.0852,33.00877,33.906033
103,34.883926,36.539307,28.576767
104,32.574783,34.434807,32.99041
105,37.87844,30.781313,31.340248
106,32.103832,34.728806,33.167362
107,32.275574,31.438955,36.285473
108,34.642006,29.190996,36.166992
109,32.83166,33.39211,33.77623
110,27.445347,36.384884,36.16977
111,30.980349,34.983288,34.036366
112,34.520126,30.916819,34.56305
113,33.87634,31.575527,34.548138
114,37.436672,23.614199,38.949127
115,38.678406,22.429657,38.891937
116,33.18703,33.039326,33.77364
117,33.196606,34.573486,32.229908
118,31.031546,34.499275,34.46918
119,33.884495,33.07403,33.041473
120,37.84712,33.55034,28.602549
121,33.873173,43.92254,22.204292
122,35.485806,27.918716,36.595474
123,37.365925,31.732378,30.901697
124,33.93656,33.984608,32.078835
125,33.996662,45.464878,20.538462
126,34.8077,32.515137,32.677162
127,35.71213,35.680622,28.607246
128,34.452717,32.621555,32.925728
129,36.89383,19.371212,43.734966
130,34.252037,33.61292,32.135044
131,30.85072,35.327606,33.82167
132,35.25525,30.969519,33.77523
133,20.438423,41.242264,38.319317
134,33.916325,32.31715,33.76652
135,40.60957,26.164965,33.225468
136,34.88355,32.629253,32.4872
137,33.444286,32.292133,34.26358
138,31.284431,34.809345,33.906227
139,29.827652,34.265537,35.906807
140,33.422775,32.434246,34.142986
141,35.72464,31.39819,32.877167
142,33.509438,32.85252,33.638035
143,35.027225,31.52334,33.44943
144,35.429867,35.747807,28.822323
145,32.67327,32.2709,35.055824
146,33.402935,34.152645,32.444424
147,32.973816,31.805122,35.221054
148,38.103176,24.338078,37.558754
149,27.32064,35.01265,37.666702
150,32.83693,35.561447,31.601624
151,32.93574,34.065006,32.999256
152,35.36709,31.181393,33.451523
153,35.076504,26.458454,38.465042
154,30.531498,31.234884,38.233612
155,32.211044,30.338339,37.450615
156,32.945637,37.130802,29.923557
157,32.416023,34.532722,33.05125
158,32.756687,33.079453,34.163864
159,31.722858,34.65383,33.623306
160,38.326225,31.704252,29.969519
161,33.12536,35.317375,31.557268
162,39.009304,30.229506,30.76119
163,33.4735,31.449133,35.077374
164,32.20107,35.408737,32.390194
165,33.633865,32.804554,33.561577
166,32.17261,36.663265,31.164122
167,38.810356,24.798134,36.391514
168,31.25219,33.0825,35.665306
169,35.76052,32.02469,32.214783
170,38.983185,25.040916,35.9759
171,32.059536,33.445217,34.495243
172,32.773476,33.77643,33.4501
173,33.39178,34.103374,32.504845
174,32.524075,34.38724,33.08869
175,34.334427,33.510433,32.15514
176,32.219707,32.055923,35.724365
177,34.49668,34.188744,31.314575
178,33.12226,33.94269,32.93504
179,32.332085,35.102543,32.565372
180,31.597868,32.07027,36.33186
181,33.83235,30.561022,35.606632
182,33.60183,32.911,33.487167
183,34.898777,33.10048,32.000744
184,34.789448,35.975655,29.234898
185,34.3825,33.9032,31.714308
186,31.143597,36.104385,32.752018
187,31.783604,27.129974,41.086426
188,31.32144,33.82347,34.855095
189,36.021027,32.4715,31.507475
190,31.964981,34.597675,33.43734
191,37.178623,30.770756,32.050625
192,29.871449,33.32763,36.800922
193,31.38554,37.094997,31.51946
194,28.598455,37.885086,33.51646
195,34.14464,32.779896,33.07546
196,38.37103,33.022568,28.606398
197,37.54309,24.81593,37.640976
198,25.784576,35.460655,38.75476
199,35.878372,35.763763,28.357864
200,31.860897,34.43054,33.708557
201,32.16514,33.692104,34.142754
202,34.668526,33.976536,31.35494
203,32.20639,30.732302,37.061314
204,34.21076,33.12813,32.661106
205,50.643806,22.41983,26.936361
206,33.554386,34.706097,31.739511
207,33.927235,33.449272,32.623493
208,34.98072,32.119457,32.899822
209,34.805454,29.80636,35.388176
