,?,n,y
0,59.446503,28.889158,11.664335
1,42.145405,38.216274,19.638317
2,14.932835,15.507097,69.56007
3,29.221163,15.685785,55.09305
4,13.019959,20.310234,66.66981
5,24.166742,56.960052,18.87321
6,14.691891,15.955572,69.35254
7,14.152849,29.797367,56.04979
8,14.6515665,18.44364,66.90479
9,64.969215,21.177694,13.853086
10,13.954894,20.638834,65.406265
11,18.920912,64.51203,16.567053
12,65.46582,18.980473,15.553705
13,66.38185,19.257349,14.360796
14,17.675285,63.74185,18.582865
15,13.599036,17.87472,68.52624
16,28.286886,29.69343,42.01968
17,22.164488,63.728184,14.107326
18,16.312141,46.51494,37.172928
19,25.35097,17.102554,57.54647
20,15.269338,15.547848,69.182816
21,14.769885,20.6253,64.60481
22,15.768894,15.37208,68.859024
23,65.8797,18.580112,15.540189
24,20.670376,15.599845,63.729782
25,31.524605,50.69722,17.778173
26,41.139336,16.092419,42.768246
27,13.527446,17.22563,69.246925
28,15.290814,21.777617,62.93157
29,16.614532,59.247177,24.138292
30,31.968641,28.940655,39.090706
31,14.023574,16.094797,69.88163
32,35.650383,16.147915,48.201706
33,34.400845,20.218334,45.380817
34,27.740246,56.3237,15.936044
35,14.71701,15.301843,69.98115
36,14.086381,16.901817,69.0118
37,65.79857,20.226624,13.974812
38,19.167713,63.370037,17.462255
39,54.75542,32.781353,12.463226
40,16.154783,37.323822,46.52139
41,13.641966,16.590834,69.767204
42,21.289932,64.04461,14.665463
43,65.24154,20.428236,14.330229
44,23.844866,23.011429,53.143703
45,13.866983,16.040377,70.092636
46,64.4976,22.72863,12.773779
47,14.483413,15.911997,69.60459
48,13.71372,16.472933,69.813354
49,13.991679,16.725487,69.28284
50,15.120472,15.465053,69.41448
51,44.52194,42.46561,13.012451
52,67.45312,18.492708,14.054167
53,44.99087,18.74091,36.268215
54,16.902546,42.686638,40.410816
55,13.471773,18.282356,68.24587
56,47.694984,36.678864,15.626158
57,14.531976,16.046545,69.42148
58,64.50191,17.252817,18.24528
59,21.400923,63.723618,14.875454
60,19.966541,63.333046,16.700418
61,65.12217,22.078102,12.799728
62,16.34097,24.985863,58.67317
63,21.599457,15.296844,63.1037
64,64.52842,22.165365,13.306218
65,14.039148,26.229073,59.73178
66,22.672262,63.015728,14.31201
67,25.914577,16.848135,57.237286
68,15.7181,38.745285,45.53661
69,61.591267,24.318556,14.09018
70,13.356082,18.565126,68.07879
71,46.843193,40.345528,12.811279
72,18.946972,63.71603,17.336996
73,20.670996,64.49796,14.831044
74,14.243038,26.487293,59.26967
75,50.29798,37.288757,12.41326
76,50.380486,23.642885,25.976625
77,14.110949,18.87689,67.01216
78,43.12972,18.86926,38.00102
79,66.92647,19.534063,13.539469
80,25.358412,36.808144,37.83345
81,63.80313,17.818829,18.378038
82,13.236187,18.284605,68.47921
83,64.76621,20.962738,14.271053
84,37.594776,48.164402,14.240822
85,18.624016,63.7436,17.632385
86,53.791916,33.99163,12.216451
87,64.50494,22.498533,12.996526
88,66.27339,20.478693,13.247909
89,16.899464,27.670038,55.430496
90,40.313385,17.413477,42.273136
91,14.215498,16.465027,69.31947
92,14.831042,15.968452,69.2005
93,13.987825,16.359854,69.65232
94,30.258936,42.283955,27.45711
95,65.91457,20.566116,13.519313
96,59.428936,28.614054,11.957015
97,17.406984,34.33656,48.256447
98,14.516139,15.367444,70.11642
99,60.675358,18.064854,21.259789
100,16.731396,24.339853,58.928745
101,62.178276,21.430723,16.390999
102,17.647148,64.13448,18.218367
103,20.960083,64.47479,14.565126
104,18.386087,19.017006,62.596912
105,14.675994,15.26786,70.05614
106,32.72343,53.37817,13.898402
107,30.218071,22.703346,47.07858
108,65.450935,20.642061,13.907005
109,16.762873,61.58247,21.654654
110,39.989918,16.166666,43.84342
111,59.74478,26.774809,13.480409
112,18.712282,63.98061,17.307117
113,15.897293,58.173225,25.929478
114,39.802708,33.98194,26.215345
115,59.105404,17.548857,23.345737
116,39.960697,16.437773,43.60153
117,19.418856,63.683475,16.897665
118,15.330468,55.583702,29.085827
119,35.923405,15.9916725,48.084923
120,46.936058,27.677996,25.38594
121,22.210064,16.659657,61.130287
122,13.516932,17.086367,69.3967
123,34.22074,16.036991,49.742264
124,18.351955,64.03951,17.60854
125,17.36235,63.775547,18.862108
126,36.033684,34.39428,29.572033
127,17.735662,41.48198,40.78236
128,63.968224,19.675194,16.356588
129,24.75784,60.68735,14.554809
130,34.291443,16.146923,49.561634
131,32.37232,53.419704,14.207975
132,31.958454,52.060497,15.981046
133,50.461273,35.48881,14.049909
134,15.837375,15.113214,69.049416
135,65.42553,17.817762,16.756697
136,60.232647,16.638231,23.12912
137,28.240791,26.402035,45.357178
138,25.921885,57.12523,16.952883
139,39.09129,47.53595,13.372761
140,17.66548,63.234394,19.100124
141,13.939935,32.343147,53.716923
142,13.290016,18.505184,68.2048
143,38.97843,17.126318,43.895252
144,16.235796,15.123478,68.640724
145,37.58318,34.1607,28.256119
146,67.5355,19.488148,12.976344
147,22.400852,19.055643,58.54351
148,26.01117,55.846416,18.142416
149,24.055357,15.766575,60.17807
150,18.072319,38.063194,43.864487
151,13.431779,18.180859,68.38736
152,13.637079,17.54658,68.816345
153,14.262936,16.70362,69.03345
154,18.354427,47.78176,33.863815
155,18.379053,31.654104,49.966843
156,56.924408,16.843254,26.232344
157,19.07973,62.54154,18.378738
158,45.433716,41.22258,13.343699
159,21.402536,64.1284,14.469065
160,13.233789,22.610155,64.15605
161,17.362583,61.69226,20.945158
162,17.800104,64.36529,17.834608
163,63.950325,17.223377,18.826298
164,18.347988,63.97868,17.67333
165,16.242085,57.93798,25.819942
166,28.578259,53.496845,17.92489
167,50.83189,34.412395,14.75571
168,15.811565,16.854204,67.33423
169,28.446472,15.365402,56.18813
170,13.370591,18.50245,68.12695
171,65.35429,21.82016,12.825555
172,28.74981,48.543385,22.706816
173,66.07562,20.981754,12.942622
174,18.93127,38.836376,42.232357
175,46.335773,17.66283,36.001392
176,17.391138,44.46731,38.141552
177,65.6438,17.67244,16.683762
178,19.335102,34.296616,46.36828
179,49.414043,20.128834,30.45712
180,54.634804,28.10777,17.257421
181,13.479405,18.298813,68.22178
182,17.997437,64.14354,17.859022
183,13.3565645,18.032686,68.61075
184,16.200724,49.870937,33.928345
185,13.617383,17.322865,69.05975
186,31.860373,16.223232,51.9164
187,13.223775,18.96015,67.81608
188,23.356434,61.1633,15.480261
189,65.30599,20.064537,14.629468
190,49.621418,18.067776,32.3108
191,38.732887,17.525286,43.741837
192,43.651337,33.572124,22.776533
193,15.887748,15.61825,68.494
194,17.549486,63.216496,19.234024
195,64.206566,23.056269,12.737164
196,24.994883,60.659145,14.345972
197,17.093445,60.51693,22.389626
198,65.36527,21.934128,12.700597
199,20.705505,21.585571,57.70892
200,13.908119,16.562685,69.52919
201,19.688234,64.21063,16.101133
202,13.837077,17.341288,68.82164
203,14.120631,16.714792,69.16457
204,59.909786,16.933254,23.156961
205,14.096993,16.694294,69.20872
206,13.955881,15.956116,70.08801
207,15.4145,15.633072,68.95243
208,50.291245,34.45645,15.252309
209,18.58566,63.93883,17.475504
210,28.076008,15.226941,56.697052
211,63.47652,18.744993,17.778482
212,15.255998,52.96314,31.780859
213,47.872776,33.513744,18.613482
214,60.07898,27.971134,11.949883
215,17.099144,61.708103,21.19275
216,13.686606,19.511375,66.80202
217,65.67292,21.159658,13.167426
218,16.128662,21.299847,62.57149
219,46.463387,38.74301,14.793602
220,62.544163,25.451778,12.004063
221,36.494003,16.900434,46.60556
222,45.31803,39.95056,14.731401
223,15.3597355,49.211052,35.42921
224,20.494131,15.705238,63.80063
225,13.382138,17.227936,69.38993
226,16.175144,49.531036,34.293823
227,15.966734,49.847145,34.18612
228,38.906017,47.28408,13.809903
229,13.325594,18.33392,68.340485
230,24.587273,31.354252,44.058475
231,48.510365,37.8575,13.632147
232,33.28975,21.934124,44.776123
233,53.603275,32.057167,14.339566
234,13.260867,18.408808,68.33032
235,13.842954,16.59896,69.55808
236,14.244085,16.079718,69.67619
237,27.716711,55.951847,16.331446
238,14.80387,15.403048,69.79309
239,61.597317,17.155472,21.247211
240,13.225973,20.341406,66.432625
241,14.167251,28.521654,57.311092
242,39.855404,16.95485,43.18974
243,13.262826,26.721323,60.01585
244,22.17614,16.084341,61.739517
245,15.591237,15.91697,68.49179
246,24.544205,60.921776,14.534015
247,30.366844,37.515667,32.11748
248,13.816569,17.017416,69.16601
249,20.72149,64.02597,15.252541
250,21.38608,29.707857,48.906067
251,16.269508,60.27046,23.46003
252,13.728031,16.786306,69.485664
253,38.063137,47.64119,14.295675
254,14.8357315,18.51469,66.649574
255,63.42428,24.1146,12.4611225
256,39.203903,20.674545,40.121548
257,13.75272,16.859068,69.388214
258,28.410875,15.914014,55.675106
259,25.062775,15.464345,59.472878
260,32.18078,55.062656,12.756567
261,32.943924,16.402609,50.653465
262,63.901745,23.58859,12.509659
263,18.209583,64.51968,17.270731
264,28.713572,20.773394,50.513035
265,24.546026,15.673579,59.7804
266,19.996635,51.059387,28.943977
267,58.153225,16.382494,25.46428
268,16.776836,62.0558,21.167364
269,13.395577,17.869022,68.735405
270,16.53348,14.977852,68.48866
271,16.854612,61.4761,21.669285
272,55.75814,17.011942,27.229918
273,45.34949,18.865194,35.785313
274,65.554756,21.638128,12.807112
275,17.3843,63.26777,19.347937
276,17.007584,62.566574,20.42584
277,15.363457,35.072445,49.564095
278,51.94481,28.73162,19.32357
279,18.667124,23.1658,58.167076
280,13.449623,17.442448,69.10793
281,18.010149,62.750072,19.239773
282,64.49262,19.327063,16.180313
283,14.134508,19.582905,66.282585
284,67.33107,19.273237,13.395696
285,62.2437,16.917484,20.838814
286,66.220825,17.706295,16.072878
287,14.172003,16.5951,69.2329
288,66.98232,19.964012,13.053672
289,14.698858,15.83983,69.4613
290,15.748728,15.158616,69.09265
291,49.502464,33.2015,17.296036
292,19.224203,22.429033,58.34676
293,16.346054,60.055714,23.598228
294,42.251213,20.316015,37.432774
295,15.740196,49.21601,35.043785
296,24.357964,61.394726,14.247312
297,17.41548,18.064734,64.51979
298,24.781656,16.49981,58.718536
299,20.94024,14.827311,64.23245
300,44.7459,33.78267,21.471437
301,13.234094,23.174822,63.59108
302,16.685032,61.989414,21.32555
303,13.413283,21.465174,65.121544
304,17.66417,63.929558,18.406282
305,26.771402,59.449047,13.779545
306,65.90825,20.364376,13.727385
307,17.65514,65.52278,16.822083
308,21.8312,27.099354,51.06945
309,16.432228,50.051342,33.516426
310,32.05008,27.772158,40.17776
311,13.719662,19.229177,67.05116
312,16.29092,15.009501,68.69958
313,65.25464,21.192127,13.553235
314,41.9242,40.12199,17.953812
315,17.428532,58.98355,23.587914
316,13.910877,17.093784,68.995346
317,45.531567,42.523117,11.945311
318,60.523964,27.362787,12.113249
319,14.315161,16.212831,69.472
320,19.491913,14.489487,66.0186
321,59.375412,24.947424,15.677164
322,13.697666,16.308863,69.99347
323,13.579543,26.636929,59.783535
