,n,y,?
0,33.581894,33.245457,33.172653
1,33.109966,33.318855,33.571175
2,33.46003,33.403763,33.1362
3,33.249104,33.592377,33.15852
4,33.61896,33.26413,33.116905
5,32.99831,33.523308,33.478382
6,33.274044,33.39244,33.33352
7,33.2726,33.57224,33.155163
8,33.588676,33.285446,33.125885
9,33.642788,33.106606,33.250603
10,33.444668,33.076153,33.47918
11,33.07176,33.459023,33.46921
12,33.619095,33.14369,33.237217
13,33.21511,33.272438,33.512444
14,33.182983,33.61782,33.199196
15,33.512833,33.1013,33.385868
16,33.462578,33.3744,33.163017
17,33.074986,33.513374,33.411644
18,33.375557,33.226837,33.397614
19,33.035065,33.460075,33.50486
20,33.041183,33.594547,33.36427
21,33.66646,33.13131,33.20223
22,33.49388,33.380985,33.125134
23,33.029488,33.426334,33.544178
24,33.09426,33.358906,33.546833
25,33.111225,33.32479,33.563976
26,33.582935,33.097916,33.319153
27,33.005764,33.53428,33.459957
28,33.019863,33.464054,33.516087
29,33.226997,33.392754,33.380245
30,33.668423,33.142895,33.188686
31,33.51237,33.171196,33.31643
32,33.254173,33.26939,33.47643
33,33.65897,33.098663,33.24237
34,33.44003,33.43279,33.127182
35,33.41631,33.330284,33.253403
36,33.01545,33.471714,33.512833
37,33.47433,33.085236,33.440437
38,33.3549,33.22077,33.424328
39,33.089684,33.394314,33.516006
40,33.270687,33.501686,33.227623
41,33.147655,33.365585,33.486767
42,33.4565,33.176247,33.367252
43,33.177612,33.40066,33.421726
44,33.054035,33.380108,33.565857
45,33.607662,33.10749,33.28485
46,33.56632,33.344757,33.08892
47,33.41959,33.12088,33.459534
48,33.03939,33.482677,33.477932
49,33.60138,33.174435,33.22419
50,33.668346,33.12245,33.209198
51,33.194798,33.24847,33.55674
52,33.66884,33.10478,33.226387
53,33.674465,33.122017,33.20352
54,33.286472,33.234615,33.478916
55,33.66927,33.143646,33.187077
56,33.136925,33.46845,33.39463
57,33.038002,33.553143,33.408855
58,33.034695,33.43294,33.532364
59,33.517,33.119507,33.36349
60,33.554947,33.36796,33.077087
61,33.07932,33.35508,33.56561
62,33.54234,33.30238,33.15528
63,33.578445,33.338047,33.08351
64,33.13836,33.573605,33.288036
65,33.49579,33.17399,33.330223
66,33.50133,33.314472,33.184193
67,33.074795,33.373817,33.551388
68,33.589115,33.29484,33.116043
69,33.57648,33.294807,33.12872
70,33.001564,33.514343,33.484097
71,33.50546,33.173294,33.321247
72,33.579407,33.060497,33.360096
73,33.15824,33.492023,33.34974
74,33.36675,33.486755,33.1465
75,33.139523,33.362816,33.497654
76,33.474533,33.34384,33.181633
77,33.106167,33.621258,33.27257
78,33.647232,33.228996,33.123764
79,33.526184,33.060432,33.41339
80,33.078213,33.3754,33.546375
81,33.500305,33.370018,33.12968
82,33.01781,33.58832,33.393867
83,33.045826,33.589878,33.3643
84,33.53745,33.300514,33.162033
85,33.477913,33.156403,33.365677
86,33.478077,33.115852,33.406075
87,33.039078,33.406155,33.55476
88,33.330173,33.5379,33.131924
89,33.578854,33.280987,33.140163
90,33.039417,33.59307,33.36751
91,33.658207,33.132355,33.209442
92,33.547337,33.09799,33.354675
93,33.236214,33.184135,33.579655
94,33.54872,33.319496,33.131783
95,33.076214,33.57895,33.344833
96,33.12189,33.349007,33.529095
97,33.006454,33.542217,33.45133
98,33.543423,33.139465,33.31711
99,33.53132,33.301502,33.167175
100,33.45009,33.340073,33.20984
101,33.08192,33.362076,33.556
102,33.334274,33.15264,33.513077
103,33.60738,33.07747,33.31515
104,33.013744,33.463814,33.522434
105,33.45843,33.152363,33.389206
106,33.487846,33.43089,33.081264
107,33.50561,33.111206,33.383183
108,33.0133,33.568996,33.41771
109,33.17074,33.59024,33.23902
110,33.628883,33.20862,33.162502
111,33.271797,33.20495,33.523254
112,33.59664,33.206314,33.197052
113,33.650772,33.181313,33.167915
114,33.443775,33.36481,33.191418
115,33.667114,33.167355,33.165535
116,33.10074,33.6043,33.294964
117,33.045227,33.40526,33.54952
118,33.087708,33.328854,33.583435
119,33.635487,33.20806,33.156456
120,33.37679,33.208885,33.41433
121,33.37091,33.36978,33.25931
122,33.524303,33.34031,33.13539
123,33.577454,33.33026,33.09229
124,33.003845,33.569855,33.426292
125,33.654057,33.18989,33.15605
126,33.068714,33.34069,33.5906
127,33.011845,33.44926,33.538887
128,33.59249,33.221394,33.18611
129,33.032387,33.584705,33.382904
130,33.10399,33.33582,33.560192
131,33.596535,33.133663,33.269806
132,33.032734,33.600468,33.366795
133,33.335373,33.525677,33.138947
134,33.02617,33.566334,33.40749
135,33.18952,33.616337,33.194138
136,33.42944,33.475483,33.095078
137,33.47548,33.296906,33.22761
138,33.273865,33.367886,33.35825
139,33.36908,33.361305,33.26962
140,33.04865,33.414715,33.53664
141,33.560368,33.078148,33.361485
142,33.651794,33.233757,33.114452
143,33.38583,33.124184,33.489986
144,33.662926,33.203564,33.13351
145,33.22234,33.42282,33.35484
146,33.25048,33.18701,33.562504
147,33.673965,33.153812,33.172215
148,33.125584,33.368393,33.50602
149,33.47458,33.14811,33.37731
150,33.477673,33.13888,33.38345
151,33.514023,33.128468,33.357513
152,33.389492,33.49147,33.119045
153,33.474903,33.3661,33.158997
154,33.33243,33.19993,33.46764
155,33.40466,33.181976,33.413364
156,33.6072,33.276897,33.115902
157,33.028748,33.459454,33.511803
158,33.32125,33.36968,33.30907
159,33.44025,33.408592,33.15116
160,33.07568,33.429775,33.49454
161,33.023388,33.593163,33.383453
162,33.65638,33.131073,33.212547
163,33.637867,33.108414,33.253723
164,33.006824,33.51071,33.482464
165,33.607193,33.21673,33.176075
166,33.04637,33.543945,33.409683
167,33.670475,33.177654,33.151875
168,33.129536,33.6234,33.247066
169,33.505917,33.13832,33.35576
170,33.103153,33.310116,33.586735
171,33.38462,33.462578,33.152798
172,33.38372,33.291527,33.324753
173,33.638374,33.25705,33.104576
174,33.16766,33.427113,33.405224
175,33.333893,33.509274,33.156837
176,33.364796,33.328445,33.30676
177,33.51711,33.355686,33.12721
178,33.452827,33.29328,33.253895
179,33.099293,33.55252,33.348186
180,33.100372,33.329224,33.570404
181,33.0335,33.5817,33.384804
182,33.48229,33.157524,33.360176
183,33.053093,33.364727,33.582176
184,33.13832,33.62773,33.23395
185,33.020966,33.528057,33.450977
186,33.669327,33.12345,33.20723
187,33.561127,33.35022,33.088654
188,33.565384,33.149727,33.28489
189,33.04762,33.578968,33.373417
190,33.48657,33.112408,33.40102
191,33.358078,33.1514,33.49053
192,33.5042,33.34692,33.14888
193,33.259247,33.31234,33.428413
194,33.463608,33.360916,33.17548
195,33.46843,33.276924,33.25464
196,33.16542,33.61126,33.223324
197,33.649902,33.127216,33.222885
198,33.322464,33.26934,33.4082
199,33.652775,33.19371,33.153515
200,33.668213,33.142574,33.189213
201,33.463066,33.35284,33.184097
202,33.180325,33.259155,33.56052
203,33.48655,33.20018,33.31327
204,33.635372,33.232323,33.132305
205,33.55432,33.113304,33.332367
206,33.65452,33.219193,33.12628
207,33.094425,33.30888,33.5967
208,33.469574,33.083405,33.447018
209,33.659973,33.133694,33.206333
210,33.093487,33.62621,33.28031
211,33.004303,33.55737,33.438328
212,33.204006,33.212643,33.583344
213,33.13336,33.429752,33.436886
214,33.224403,33.59895,33.176647
215,33.02812,33.563656,33.408226
216,33.67332,33.15458,33.172096
217,33.55744,33.099796,33.34276
218,33.411003,33.201946,33.387054
219,33.643597,33.143692,33.212708
220,33.54722,33.314697,33.13808
221,33.123573,33.30863,33.567795
222,33.591274,33.160236,33.248486
223,33.09678,33.344593,33.558624
224,33.004734,33.5588,33.436466
225,33.608826,33.062424,33.32875
226,33.250336,33.365746,33.383923
227,33.026752,33.60015,33.373096
228,33.06252,33.389343,33.548145
229,33.55215,33.121365,33.326485
230,33.055904,33.48292,33.46117
231,33.279842,33.310493,33.409664
232,33.00222,33.563995,33.43378
233,33.01605,33.585503,33.398445
234,33.62418,33.06203,33.313793
235,33.507965,33.1097,33.38234
236,33.480595,33.285187,33.234222
237,33.389362,33.131485,33.479156
238,33.55702,33.134975,33.308
239,33.675407,33.16887,33.155724
240,33.140457,33.464302,33.39524
241,33.659042,33.132973,33.20799
242,33.41317,33.28391,33.302925
243,33.59948,33.270653,33.129875
244,33.451977,33.170094,33.377934
245,33.593185,33.09775,33.309063
246,33.619186,33.121414,33.259396
247,33.056347,33.482136,33.461514
248,33.40403,33.12132,33.474648
249,33.138924,33.332497,33.528584
250,33.43804,33.3032,33.25876
251,33.625324,33.178905,33.195774
252,33.589413,33.2504,33.160187
253,33.676167,33.16553,33.158302
254,33.314785,33.406048,33.279167
255,33.250896,33.589947,33.159153
256,33.61691,33.1144,33.268684
257,32.99686,33.495186,33.507954
258,33.190662,33.51475,33.294582
259,33.4285,33.110435,33.46106
260,33.045567,33.4276,33.526836
261,33.66891,33.162533,33.16856
262,33.03335,33.405674,33.56098
263,33.45035,33.26664,33.283016
264,33.322407,33.34561,33.331978
265,33.66102,33.130875,33.208103
266,33.493122,33.133595,33.373283
267,33.383827,33.105953,33.510223
268,33.19108,33.509518,33.299404
269,33.528484,33.30522,33.166298
270,33.36889,33.49714,33.133976
271,33.08837,33.52888,33.38275
272,33.550217,33.315025,33.134754
273,33.586937,33.124527,33.28853
274,33.513443,33.35463,33.13193
275,33.091312,33.348965,33.559715
276,33.483154,33.235107,33.281742
277,33.524254,33.144318,33.331425
278,33.58229,33.308445,33.10926
279,33.51328,33.328484,33.158237
280,33.445732,33.223858,33.33041
281,33.4205,33.094757,33.484745
282,33.530563,33.340286,33.129147
283,33.336647,33.168476,33.49487
284,33.049854,33.4284,33.521755
285,33.423016,33.47259,33.104393
286,33.40151,33.115425,33.48307
287,33.5214,33.36849,33.110107
288,33.514935,33.11201,33.373062
289,33.484745,33.396072,33.119183
290,33.644356,33.144905,33.21074
291,33.030476,33.58456,33.384964
292,33.36076,33.502934,33.13631
293,33.616302,33.182972,33.20072
294,33.096085,33.53592,33.367996
295,33.491703,33.234856,33.273445
296,33.416378,33.47056,33.113064
297,33.34524,33.333004,33.321747
298,33.255005,33.413906,33.33109
299,33.022003,33.5467,33.43129
300,33.50911,33.283028,33.20786
301,33.298454,33.16658,33.534966
302,33.22433,33.5264,33.24926
303,33.557705,33.092693,33.349606
304,33.044994,33.412548,33.542458
305,33.202152,33.229794,33.568054
306,33.599396,33.285038,33.115566
307,33.544193,33.148792,33.307014
308,33.32549,33.54684,33.12767
309,33.52008,33.398865,33.08106
310,33.6561,33.160557,33.18334
311,33.622845,33.2651,33.112057
312,33.66336,33.190994,33.14565
313,33.09308,33.494408,33.412514
314,33.389572,33.13143,33.478992
315,33.512375,33.184196,33.303432
316,33.52552,33.161945,33.31253
317,33.609997,33.175533,33.214466
318,33.47999,33.125763,33.394253
319,32.9974,33.493164,33.509438
320,33.613888,33.11867,33.267437
321,33.36319,33.500576,33.136234
322,33.623837,33.27468,33.101482
323,33.118214,33.4458,33.435993
324,33.0473,33.586025,33.36668
325,33.362244,33.518185,33.11957
326,33.58945,33.188408,33.222137
327,33.046253,33.402584,33.55117
328,33.072887,33.61942,33.3077
329,33.641533,33.18886,33.16961
330,33.253624,33.25328,33.493095
331,33.318493,33.219666,33.46184
332,33.49347,33.166634,33.339905
333,33.58825,33.118073,33.29369
334,33.565796,33.231262,33.20294
335,33.11969,33.593742,33.28656
336,33.289524,33.549374,33.161102
337,33.1746,33.29573,33.52967
338,33.39016,33.173492,33.436344
