,n,y,?
0,50.42701,11.216966,38.356026
1,12.00071,47.49931,40.499977
2,11.269667,48.069046,40.661285
3,12.246307,46.793102,40.96059
4,14.52637,44.22661,41.24702
5,50.41893,11.375567,38.205494
6,51.743484,10.933026,37.323494
7,50.868652,11.860442,37.2709
8,11.808459,47.464104,40.727432
9,50.482662,10.906852,38.61049
10,50.038876,11.266056,38.69507
11,10.933216,49.945904,39.120884
12,11.356724,47.66774,40.97554
13,51.013714,11.302227,37.68405
14,54.05181,10.232351,35.71584
15,10.313486,52.567314,37.1192
16,12.277612,45.51221,42.210182
17,51.313488,11.072307,37.6142
18,10.922699,49.844162,39.23314
19,13.614175,45.817513,40.568306
20,11.528183,49.023205,39.44861
21,14.393708,45.100464,40.505833
22,14.9842,45.26579,39.75001
23,10.82242,50.602997,38.57458
24,12.291001,46.794018,40.914978
25,16.220627,45.16123,38.61815
26,10.2118,53.164555,36.623646
27,50.512527,10.885932,38.601536
28,11.480388,47.36677,41.152843
29,51.364624,11.240736,37.394638
30,12.831142,47.091087,40.077774
31,11.891956,46.163986,41.944057
32,49.49814,11.782692,38.71917
33,12.261733,45.92952,41.80875
34,47.38165,12.5599785,40.058372
35,52.70903,11.068966,36.222004
36,50.26472,11.58397,38.151314
37,50.330894,11.1746645,38.494446
38,10.173467,53.315395,36.51114
39,11.51869,46.89965,41.581657
40,11.689728,47.271355,41.038918
41,11.022502,49.061558,39.91594
42,12.125828,48.19899,39.675186
43,10.776137,50.09526,39.1286
44,11.365826,48.410236,40.22393
45,11.387929,48.716946,39.895123
46,11.460856,47.785934,40.75321
47,12.131631,45.26744,42.600933
48,47.712566,10.640586,41.646843
49,11.324672,47.52577,41.14956
50,50.845974,11.063492,38.090534
51,11.430742,48.222637,40.346615
52,52.46818,9.795326,37.736496
53,13.384357,45.967663,40.64798
54,53.44587,9.362124,37.19201
55,51.071335,10.677367,38.251297
56,48.57373,12.021325,39.40494
57,46.42415,11.285119,42.290733
58,50.641174,11.208415,38.150414
59,11.788362,47.64202,40.56962
60,49.693592,11.148977,39.157433
61,11.1932125,48.807713,39.99907
62,11.503694,47.944115,40.552193
63,13.249907,44.619358,42.13074
64,50.96324,10.949692,38.087063
65,50.051296,11.410214,38.53849
66,50.37405,11.237783,38.388165
67,13.740495,45.02753,41.23197
68,11.38847,47.42894,41.18259
69,21.817654,44.87393,33.308414
70,12.7203245,45.302776,41.976902
71,11.346726,47.41846,41.23481
72,14.485823,45.033966,40.480213
73,11.46161,48.534428,40.00396
74,11.729791,47.38187,40.888332
75,13.011354,46.577736,40.410908
76,13.353997,45.73627,40.90973
77,11.234428,48.791157,39.974407
78,45.019363,16.625618,38.35502
79,11.442388,47.06015,41.497467
80,11.086943,48.62377,40.289288
81,51.93467,10.838047,37.227283
82,51.970272,11.311499,36.71823
83,49.984615,11.117136,38.898247
84,12.147054,46.331085,41.521862
85,51.319725,11.027554,37.652718
86,45.22391,33.236206,21.539886
87,10.875482,49.608242,39.516277
88,50.281006,11.0330515,38.685944
89,14.074704,45.94931,39.975983
90,11.450509,49.147217,39.402275
91,12.075515,46.854122,41.070362
92,11.220784,48.581944,40.19727
93,11.436949,48.701927,39.861122
94,12.521603,45.639114,41.83928
95,14.419156,33.73144,51.8494
96,51.022606,11.001295,37.9761
97,14.510602,49.235043,36.254353
98,50.204742,10.115091,39.68016
99,48.920742,11.683966,39.395298
100,10.513106,51.48041,38.006477
101,11.071732,50.92855,37.999718
102,49.053642,11.518265,39.42809
103,14.004332,34.122734,51.87294
104,12.642869,45.624702,41.732426
105,49.276287,11.190081,39.533634
106,15.401647,35.48112,49.117226
107,11.384661,48.139652,40.47569
108,12.456258,45.207436,42.336308
109,14.37431,45.56836,40.05734
110,51.62349,10.669411,37.707104
111,10.857604,50.617973,38.52442
112,49.74653,11.299499,38.95398
113,10.999575,49.695686,39.30474
114,11.638636,46.36603,41.99533
115,11.615861,47.09888,41.28526
116,10.926172,49.469105,39.60472
117,11.822753,48.04246,40.134777
118,50.42985,11.3624525,38.207703
119,16.150974,35.999878,47.849144
120,50.59561,11.438162,37.96623
121,44.992508,14.0279455,40.979546
122,51.3093,11.066936,37.623768
123,18.418896,44.585003,36.9961
124,48.660336,11.1895075,40.15015
125,46.194706,11.24201,42.563286
126,11.438488,47.98449,40.57702
127,11.329343,48.29163,40.37903
128,10.854276,49.972103,39.173622
129,11.113612,49.389267,39.497116
130,12.169625,46.84683,40.983547
131,51.486607,11.162639,37.350758
132,52.584667,10.5629635,36.852367
133,50.50484,11.081132,38.414036
134,21.425797,34.475163,44.099037
135,50.46581,10.712759,38.82143
136,13.271772,46.13071,40.597515
137,11.334307,48.70734,39.958355
138,11.472036,47.5128,41.015167
139,47.618492,11.395601,40.985912
140,52.183784,10.605316,37.2109
141,48.6127,11.904548,39.482754
142,49.40845,11.864305,38.72725
143,50.488293,10.920408,38.591297
