,republican,democrat
0,65.46447,34.535526
1,48.229637,51.77036
2,47.29796,52.702038
3,46.981094,53.01891
4,47.27284,52.72716
5,47.606544,52.393456
6,65.62259,34.377403
7,65.97246,34.02754
8,47.279724,52.72028
9,65.35447,34.64553
10,63.601215,36.39879
11,48.091526,51.908474
12,43.716896,56.283104
13,66.491745,33.50825
14,56.249706,43.750294
15,44.29571,55.704285
16,46.830048,53.169952
17,66.331985,33.668022
18,47.130558,52.86944
19,46.834625,53.165375
20,47.354885,52.64512
21,47.661144,52.338852
22,47.701733,52.298267
23,45.996082,54.003914
24,46.96886,53.03114
25,47.731106,52.268894
26,47.73851,52.261497
27,64.63916,35.36084
28,47.39068,52.609325
29,61.362694,38.637306
30,47.681107,52.318893
31,47.49302,52.506985
32,65.19778,34.802216
33,46.5896,53.410404
34,64.08564,35.91436
35,65.769745,34.23025
36,64.74305,35.25695
37,64.39507,35.60493
38,46.832977,53.167023
39,48.405125,51.59488
40,47.658783,52.341217
41,47.057327,52.942677
42,45.686714,54.313286
43,47.71155,52.28845
44,46.264763,53.735233
45,45.832096,54.167904
46,45.209427,54.790573
47,37.446045,62.553955
48,63.591175,36.408825
49,45.199265,54.800735
50,64.46091,35.53909
51,47.658493,52.341503
52,65.818794,34.181206
53,47.917606,52.082397
54,63.76252,36.23748
55,65.40626,34.593742
56,65.536285,34.463715
57,64.29995,35.70005
58,61.964817,38.035187
59,46.48242,53.51758
60,64.80049,35.19951
61,44.465736,55.53426
62,47.81498,52.185017
63,46.23732,53.76268
64,65.524315,34.475685
65,64.9128,35.087196
66,65.3485,34.65149
67,47.70845,52.291553
68,47.443615,52.556385
69,46.975555,53.02445
70,65.58003,34.419968
71,48.19873,51.801277
72,65.61283,34.387173
73,47.742794,52.25721
74,47.099983,52.90001
75,47.173195,52.826805
76,46.319687,53.680313
77,46.310947,53.689056
78,65.243866,34.75614
79,47.452545,52.547447
80,46.854748,53.14525
81,62.939896,37.060104
82,65.09589,34.904118
83,64.60037,35.399628
84,47.865765,52.134235
85,63.202023,36.797977
86,65.99664,34.00336
87,45.73066,54.269337
88,64.2866,35.71341
89,45.66493,54.335075
90,45.4261,54.5739
91,48.10549,51.89451
92,47.65698,52.34302
93,46.42543,53.57457
94,46.51636,53.483635
95,46.786396,53.213608
96,46.620144,53.379856
97,45.771397,54.228603
98,65.79384,34.206165
99,45.135494,54.864502
100,47.01258,52.98742
101,45.956715,54.04328
102,46.33552,53.664474
103,47.436775,52.56322
104,45.150665,54.84934
105,64.6988,35.301205
106,65.77587,34.22413
107,47.05724,52.94276
108,46.01413,53.98587
109,49.78324,50.21676
110,63.468426,36.53157
111,46.743378,53.256626
112,65.461876,34.538128
113,46.91548,53.08452
114,47.211006,52.788998
115,46.259895,53.74011
116,64.62063,35.379368
117,47.85175,52.148247
118,65.88015,34.11985
119,64.272865,35.727127
120,66.54576,33.454235
121,66.122505,33.877495
122,65.604065,34.395935
123,41.46825,58.53175
124,64.06575,35.93425
125,64.94599,35.054005
126,47.226818,52.77318
127,45.90434,54.09566
128,47.280354,52.719643
129,47.053097,52.9469
130,45.891895,54.10811
131,64.86897,35.13102
132,61.674763,38.325237
133,64.16592,35.834084
134,66.150475,33.849525
135,65.66437,34.335632
136,62.346333,37.65367
137,47.746532,52.25346
138,48.23082,51.76918
139,63.809456,36.190544
140,65.8705,34.129505
141,63.256042,36.74396
142,46.916653,53.083347
143,45.87366,54.12634
144,45.778008,54.221992
145,66.31374,33.68626
146,47.700497,52.2995
147,66.026474,33.97353
148,47.52248,52.47752
149,63.504513,36.495487
150,46.64784,53.352165
151,46.99359,53.00641
152,47.327744,52.672256
153,63.077396,36.922607
154,65.29322,34.706776
155,64.98049,35.019516
156,48.062725,51.937275
157,63.466328,36.53367
158,47.482986,52.517014
159,47.954586,52.04541
160,48.13729,51.86271
161,47.638184,52.361816
162,65.09216,34.907837
163,46.385445,53.61455
164,45.61986,54.380142
165,62.793392,37.206604
166,65.37546,34.624542
167,47.906017,52.093983
168,46.148537,53.851463
169,47.305904,52.694096
170,65.4236,34.576397
171,46.63983,53.36017
172,47.925602,52.074398
173,46.22294,53.777058
174,47.271023,52.728973
175,65.03632,34.96367
176,46.75654,53.243458
177,47.049675,52.95032
178,46.523853,53.47615
179,45.681717,54.318283
180,46.010784,53.989212
