,y,?,n
0,32.99162,33.616314,33.392067
1,33.849533,33.39839,32.75207
2,32.540955,34.450626,33.00842
3,33.49465,34.025772,32.479572
4,34.07314,33.202415,32.724445
5,35.976498,30.364695,33.65881
6,34.198498,32.809753,32.991753
7,33.39712,33.962185,32.640694
8,33.573864,33.32445,33.10169
9,33.214916,33.529198,33.255882
10,33.169956,33.27414,33.55591
11,33.457394,33.48275,33.059856
12,33.456947,32.76376,33.779297
13,33.509686,32.67684,33.81347
14,33.231945,33.781807,32.986244
15,32.35438,32.900925,34.744698
16,33.215218,33.39565,33.389133
17,34.395744,33.279922,32.324337
18,33.29837,33.466568,33.235054
19,33.367207,33.374954,33.25784
20,32.35119,34.33548,33.31333
21,33.922638,32.50229,33.575073
22,33.785816,33.204887,33.009293
23,32.79269,34.581776,32.62553
24,33.808323,33.686237,32.505436
25,33.406876,33.89519,32.697933
26,33.357452,32.99903,33.643517
27,33.271427,33.673103,33.05547
28,33.535587,33.600086,32.864326
29,39.945034,30.63079,29.42418
30,33.72936,33.132694,33.13795
31,33.506878,33.115467,33.377663
32,33.86294,32.811268,33.32579
33,32.903316,33.47291,33.62377
34,33.34149,33.332756,33.325756
35,32.648937,33.358692,33.992363
36,33.54812,33.45087,33.00101
37,33.09804,33.690636,33.211327
38,33.472134,33.307655,33.220215
39,30.267754,36.393948,33.338303
40,34.278603,33.097164,32.624233
41,32.16544,32.760094,35.074463
42,33.257023,33.85966,32.883312
43,33.262913,33.149868,33.58722
44,32.62555,34.119522,33.254925
45,30.551151,34.703922,34.744923
46,33.981262,32.996853,33.021885
47,35.098976,30.574211,34.326817
48,33.21641,33.343155,33.44044
49,33.28098,33.58652,33.132507
50,34.01108,32.948406,33.040516
51,34.57043,33.403374,32.026196
52,33.50162,33.28418,33.214203
53,33.289574,33.602394,33.108036
54,30.539427,31.586117,37.874462
55,33.253956,33.277367,33.468678
56,33.333336,33.333336,33.333336
57,31.192286,34.44935,34.35837
58,33.070766,33.581635,33.3476
59,33.06358,33.710255,33.226166
60,33.051567,33.57869,33.369743
61,33.671825,33.344425,32.983746
62,34.403458,32.952297,32.64425
63,33.214256,33.91622,32.869522
64,33.228565,33.67053,33.100906
65,33.45946,32.76773,33.772804
66,31.414158,34.1883,34.397545
67,32.970688,33.537437,33.49187
68,34.032326,32.642773,33.324905
69,29.20786,33.031,37.761135
70,32.978867,33.382942,33.638187
71,33.750134,33.157665,33.092205
72,33.04112,33.72178,33.2371
73,33.16819,33.309505,33.522305
74,32.64286,33.108883,34.248253
75,34.03456,32.358383,33.607056
76,33.829567,33.47106,32.699375
77,33.877045,31.3615,34.761463
78,30.950478,33.975437,35.074085
79,33.341286,33.325787,33.332928
80,31.930119,33.960663,34.10922
81,34.606,33.1985,32.195507
82,33.530003,34.01506,32.454933
83,32.36379,34.35619,33.28002
84,32.52747,33.47087,34.001656
85,32.50063,32.435608,35.063755
86,33.219128,33.92336,32.85751
87,33.045498,33.354397,33.600105
88,34.43687,32.648884,32.91425
89,33.14157,33.98217,32.87626
90,32.846546,32.17159,34.98187
91,34.78876,29.511932,35.699306
92,32.88411,34.105453,33.010437
93,33.643173,33.38927,32.967556
94,32.843666,34.324127,32.832207
95,33.147545,33.45386,33.398594
96,33.77599,32.94598,33.278034
97,33.80191,32.731342,33.466755
98,33.291237,33.424526,33.284233
99,33.366585,33.298225,33.335194
100,33.170746,33.815228,33.01402
101,33.304806,33.471836,33.22336
102,33.998535,32.86647,33.134995
103,34.773773,32.363228,32.863
104,32.891743,33.329834,33.778427
105,33.758118,33.837883,32.404
106,33.832775,33.008827,33.15839
107,33.316948,33.323597,33.35945
108,33.216843,33.39037,33.39279
109,33.04492,33.097702,33.857376
110,33.682747,32.89933,33.417927
111,33.333336,33.333336,33.333336
112,33.001633,33.501823,33.496536
113,32.877846,33.783154,33.33901
114,33.2072,33.46673,33.326073
115,33.267166,33.372276,33.360558
116,32.206936,32.29688,35.49619
117,32.585587,33.71809,33.696316
118,33.46418,32.773224,33.762596
119,33.29918,33.401634,33.29918
120,34.032547,33.123985,32.84347
121,32.770844,33.566402,33.662754
122,31.53747,34.19264,34.26989
123,33.166294,33.34698,33.486732
124,33.266678,33.285145,33.44818
125,33.123024,33.162453,33.71452
126,33.206787,33.34601,33.447205
127,33.342545,33.32755,33.32991
128,33.447334,33.254234,33.298435
129,34.234337,33.56395,32.20171
130,33.732025,32.08061,34.187363
131,34.64372,32.226868,33.12941
132,33.394413,33.51263,33.092964
133,33.67575,32.575108,33.749146
134,21.692064,41.921688,36.38625
135,33.75368,33.383675,32.862644
136,33.7244,33.84519,32.430412
137,34.04031,32.843533,33.116158
138,32.71044,33.869564,33.419994
139,33.117954,33.436287,33.44576
140,33.968266,33.068054,32.96368
141,33.732624,33.295902,32.971474
142,33.870693,32.314987,33.814316
143,33.17686,33.64993,33.173214
144,33.801754,33.022644,33.175602
145,33.832417,33.65379,32.51379
146,33.267284,33.336746,33.395973
147,34.05459,33.124084,32.821327
148,33.34629,33.38824,33.265472
149,33.84832,32.604572,33.547108
150,33.04015,33.594257,33.365597
151,35.830967,24.163153,40.005882
152,31.033054,33.93558,35.031364
153,32.85678,33.61535,33.527866
154,33.172817,34.45961,32.367577
155,33.080612,33.258995,33.66039
156,33.630188,32.61593,33.753887
157,33.0076,34.04161,32.95079
158,33.00941,33.853294,33.13729
159,37.656193,19.912933,42.430874
160,33.717636,33.175045,33.107315
161,33.850574,33.13844,33.01099
162,32.549633,34.152744,33.29762
163,33.26221,33.536396,33.20139
164,33.61008,33.28169,33.10823
165,32.616558,33.53169,33.85175
166,33.283524,33.254604,33.46187
167,33.92906,32.970364,33.100574
168,33.86559,32.01263,34.12178
169,33.33789,33.32306,33.339046
170,33.26482,33.299267,33.43591
171,33.692898,33.90372,32.40338
172,33.842133,33.06729,33.090572
173,33.36822,33.208515,33.42326
174,33.354324,33.715405,32.930267
175,30.8242,34.599594,34.576206
176,33.582897,32.454407,33.962696
177,33.877487,32.90931,33.2132
178,33.457993,32.869347,33.672653
179,33.41056,33.71659,32.87285
180,33.441433,33.308037,33.250526
181,32.653206,33.568295,33.7785
182,33.17566,32.882812,33.941536
183,33.475292,33.17959,33.345123
184,33.50711,33.33261,33.160282
185,32.893177,33.611504,33.495323
186,32.643166,33.6973,33.659534
187,33.71163,33.659164,32.629208
188,32.95079,36.572544,30.47667
189,33.4668,33.403976,33.129223
190,33.333336,33.333336,33.333336
191,33.595345,33.11848,33.286175
192,35.854824,31.73207,32.41311
193,32.591522,33.931217,33.47727
194,32.97551,32.691147,34.333344
195,32.431908,33.963608,33.604485
196,34.17221,34.804073,31.023716
197,32.177242,32.006626,35.81613
198,33.780872,33.19623,33.022896
199,35.106865,32.385834,32.507305
200,32.25564,33.25903,34.485336
201,33.14339,33.49277,33.36384
202,33.09615,33.494183,33.40967
203,33.238274,33.413445,33.34828
204,33.695747,33.4699,32.83436
205,33.544117,33.541584,32.914303
206,33.98526,32.75612,33.258625
207,33.562008,32.714092,33.723904
208,32.77463,34.247917,32.97745
209,33.58579,32.981503,33.4327
210,32.78031,33.56334,33.656345
211,46.043846,17.187937,36.76822
212,33.704483,33.4532,32.84231
213,33.174065,33.29636,33.529575
214,33.751186,33.666958,32.581856
215,33.223557,33.043045,33.733395
216,33.71019,33.158215,33.13159
217,33.20066,32.23842,34.56092
218,33.397697,33.85671,32.74559
219,33.467163,33.012386,33.520447
220,33.424133,33.209812,33.366055
221,33.83181,33.301926,32.86627
222,34.174503,33.590313,32.23518
223,34.186523,32.877186,32.93629
224,33.371723,33.252426,33.37585
225,33.52642,33.33503,33.138546
226,32.85284,33.731514,33.41565
227,33.81893,32.836014,33.34505
228,31.30787,34.09608,34.59605
229,33.415596,32.659435,33.92497
230,32.58496,35.01157,32.40347
231,33.329834,33.66727,33.0029
232,33.105453,33.117107,33.777443
233,33.39192,33.152523,33.455563
234,33.085175,33.21315,33.701675
235,34.0011,33.38715,32.611744
236,32.473297,33.824722,33.701984
237,32.872643,33.148495,33.978863
238,33.422485,33.743988,32.833527
239,33.082283,33.721664,33.19605
240,33.936684,32.58519,33.478123
241,33.201366,33.24911,33.54952
242,33.920494,32.72752,33.351986
243,32.183517,32.645233,35.171246
244,31.027824,34.99745,33.974724
245,34.483326,34.45627,31.060406
246,33.588783,33.16348,33.247738
247,33.75709,33.461185,32.781727
248,33.4059,32.93702,33.65708
249,34.111523,32.896294,32.992184
250,33.56501,33.384056,33.050934
251,31.734423,32.675823,35.589752
252,33.318714,33.746845,32.934444
253,34.031944,33.477512,32.490547
254,33.362152,33.46779,33.170067
255,33.380127,33.107967,33.511906
256,32.707783,32.39605,34.896164
257,33.00594,33.19903,33.795033
258,33.08684,34.394867,32.518295
259,33.558132,32.9405,33.50137
260,33.710175,32.77269,33.51714
261,33.534748,33.54394,32.921307
262,33.564228,32.607677,33.828094
263,33.017532,33.131706,33.850758
264,33.17441,33.626846,33.198734
265,33.211887,33.377983,33.410133
266,33.13427,33.93749,32.928238
267,32.45044,34.08602,33.463535
268,33.098732,33.380714,33.52055
269,32.37264,33.840122,33.78724
270,33.095676,33.768677,33.135643
271,33.180344,33.51252,33.30714
272,33.252827,33.131588,33.61558
273,33.91211,32.8309,33.25699
274,33.357246,33.443775,33.198975
275,33.329647,33.313007,33.35734
276,33.45133,35.267372,31.281298
277,33.275978,33.778843,32.94518
278,33.391,32.496014,34.11299
279,33.721302,33.398613,32.880085
280,33.34027,33.806316,32.853405
281,32.335052,33.491467,34.17348
282,34.88199,38.368076,26.749935
283,33.632576,33.143337,33.22409
284,33.19176,32.971783,33.836452
285,33.484562,33.467834,33.0476
286,32.858,33.57038,33.571617
287,32.825638,34.26265,32.911716
288,33.439213,32.970173,33.59062
289,31.533518,34.40252,34.063957
290,31.982342,34.008007,34.009644
291,33.71268,32.708214,33.579105
292,33.50173,33.186104,33.31216
293,33.8237,33.6937,32.482605
294,23.810534,34.36912,41.82034
295,33.58705,33.468784,32.944168
296,33.754463,32.859158,33.386375
297,33.335075,33.352673,33.31225
298,33.59892,32.38247,34.018612
299,33.44979,33.769386,32.780823
300,33.55858,33.336914,33.104507
301,33.584618,32.975903,33.439484
302,33.143208,33.316765,33.54003
303,33.878807,32.555,33.566193
304,34.5929,32.14319,33.26391
305,31.881994,33.549263,34.56874
306,33.361732,33.565773,33.07249
307,33.24533,32.985218,33.76945
308,33.22478,33.58545,33.18977
309,33.643833,33.436928,32.91924
310,32.98484,33.119755,33.895397
311,33.794933,32.93854,33.266525
312,33.12964,33.426598,33.443756
313,32.537727,33.584175,33.8781
314,33.006252,32.974453,34.019295
315,31.870201,33.793774,34.336025
316,33.740364,33.015804,33.24383
317,31.99763,33.9487,34.05367
318,33.459145,33.5119,33.02895
319,32.96594,33.568,33.46606
320,33.147247,33.210598,33.64215
321,33.52785,33.34408,33.12807
322,33.068203,33.838257,33.093533
323,31.73855,34.223946,34.0375
324,33.137043,33.50155,33.36141
325,32.54719,33.78068,33.672123
326,33.583527,32.879353,33.537113
327,35.504448,35.15579,29.339767
328,33.080746,33.765022,33.154232
329,33.333336,33.333336,33.333336
330,32.084866,34.10844,33.80669
331,33.766914,33.342094,32.890987
332,32.912914,34.261433,32.825653
333,33.216187,33.55595,33.227867
334,33.788017,33.130974,33.081013
335,34.319675,32.560543,33.11979
336,32.706413,33.157673,34.13592
337,32.969147,34.14267,32.888187
338,32.972153,33.334927,33.69292
339,33.718254,33.297176,32.984566
340,33.727856,33.07071,33.20144
341,33.231205,32.75023,34.018566
342,33.159042,33.35704,33.483917
343,33.77659,32.893337,33.33007
344,33.563046,32.644604,33.79235
345,32.422657,33.746418,33.830925
346,35.42991,28.966093,35.603996
347,33.69554,33.097473,33.206985
348,32.579113,35.33966,32.08123
349,33.000683,33.170155,33.82916
350,33.019974,33.23117,33.748863
351,33.01589,34.062202,32.921913
352,33.34589,33.261738,33.392376
353,33.31707,33.622257,33.06067
354,32.99244,33.056526,33.95103
355,33.98263,33.120625,32.896748
356,33.0224,33.03888,33.938713
357,29.986435,34.145157,35.86841
358,33.325127,32.81425,33.860622
359,33.964973,33.989403,32.045616
360,31.413233,33.642513,34.944256
361,33.073677,33.39455,33.53177
362,33.105003,33.809452,33.085545
363,33.76465,33.1526,33.082752
364,33.59858,31.907263,34.49416
365,34.43881,29.547777,36.013416
366,32.47639,34.03624,33.48737
367,33.03624,33.535614,33.428146
368,32.93469,33.730896,33.334415
369,33.39128,33.846397,32.762318
370,33.531082,33.609806,32.85912
371,33.511906,33.455322,33.032772
372,33.1325,33.433487,33.434017
373,33.300156,33.430336,33.26951
374,33.605564,33.1548,33.239635
375,33.135036,33.229904,33.635063
376,32.894505,31.60936,35.496136
377,33.79189,33.311424,32.896687
378,33.320347,34.55756,32.122097
379,36.3105,29.83045,33.85905
380,26.563475,36.728508,36.70801
381,33.5713,33.556736,32.871964
382,34.324673,33.769447,31.905878
383,34.30319,33.294952,32.40186
384,33.212967,32.928776,33.858253
385,33.412663,32.66361,33.923725
386,33.214935,33.894608,32.890457
387,33.71856,32.697807,33.583633
388,33.036564,33.481686,33.481754
389,31.701187,33.697216,34.6016
390,33.241947,33.184998,33.573055
391,24.336512,33.57316,42.09033
392,32.946438,33.73668,33.316883
393,33.588413,33.435886,32.9757
394,32.842983,32.482113,34.674904
395,32.861942,33.049854,34.088203
396,33.424232,32.926388,33.649384
397,33.462505,33.121117,33.416378
398,33.638077,33.186573,33.175346
