,?,n,y
0,33.220177,33.304363,33.47546
1,32.71674,34.83215,32.45111
2,32.8115,33.82381,33.364697
3,34.11662,32.788544,33.094837
4,33.20643,33.439934,33.353634
5,36.445625,31.577116,31.97726
6,33.101032,33.102158,33.79681
7,33.383404,33.46091,33.155685
8,33.5364,33.546032,32.917572
9,33.5991,33.004795,33.39611
10,33.55944,33.31337,33.12719
11,32.98725,33.45717,33.555576
12,33.686916,33.376648,32.936436
13,33.517876,33.72778,32.754345
14,33.336002,33.708828,32.955173
15,33.575344,33.203568,33.22109
16,32.80932,33.587353,33.603325
17,33.139122,33.507668,33.353214
18,33.37142,33.45031,33.17827
19,32.557564,34.91382,32.528618
20,33.157574,32.543617,34.29881
21,32.732113,33.07474,34.19315
22,33.118847,33.47649,33.404663
23,33.156116,33.304714,33.539173
24,33.337345,33.687878,32.974773
25,33.348022,33.331856,33.32012
26,33.597748,33.697617,32.70463
27,33.47295,32.853584,33.673466
28,33.816708,32.98189,33.2014
29,34.444706,33.18394,32.37135
30,32.817856,33.481377,33.700764
31,32.548565,34.850235,32.6012
32,33.995857,33.554684,32.44946
33,32.574024,34.682507,32.74347
34,33.260456,33.382206,33.357338
35,33.533825,32.89457,33.571606
36,32.707844,34.875435,32.41672
37,32.647217,34.29069,33.06209
38,37.42256,28.842663,33.73477
39,33.625748,33.15877,33.21549
40,33.315525,33.277145,33.407333
41,32.905483,33.765614,33.328907
42,34.132652,32.97439,32.892956
43,33.68617,33.262943,33.050884
44,33.417786,33.402374,33.179844
45,33.137207,33.359184,33.50361
46,33.753754,33.41279,32.833458
47,33.672882,33.83065,32.49647
48,32.9735,33.195484,33.831017
49,33.614273,33.246365,33.139355
50,33.064156,33.35489,33.58096
51,33.252125,33.348076,33.399807
52,32.998283,33.896957,33.104763
53,33.428814,37.940605,28.63058
54,33.036495,33.25273,33.710773
55,33.46782,32.979404,33.55277
56,33.82904,32.93779,33.233166
57,34.095013,33.462933,32.44206
58,33.777176,33.17275,33.05008
59,33.494743,32.50307,34.002182
60,32.53609,34.02535,33.438557
61,33.74041,33.020966,33.238625
62,33.791916,32.985653,33.222435
63,33.38644,32.91135,33.702206
64,32.509186,33.77899,33.711826
65,32.892464,33.214108,33.893425
66,33.400536,33.657703,32.941757
67,34.106895,33.0986,32.794502
68,32.104282,33.153206,34.74251
69,33.70397,33.17854,33.117485
70,33.935097,34.29908,31.765825
71,33.376915,33.108204,33.51488
72,33.360443,33.242104,33.397457
73,33.96717,34.041115,31.991716
74,33.156094,32.84784,33.996067
75,33.090263,33.061035,33.848705
76,33.931507,33.22403,32.844463
77,32.987316,33.294926,33.717762
78,33.082077,32.55401,34.36392
79,33.792084,33.485527,32.722385
80,33.27226,33.3198,33.40794
81,32.937912,33.35759,33.7045
82,33.503647,32.907097,33.58926
83,33.340164,33.65219,33.00764
84,34.034286,32.793427,33.17229
85,32.733135,32.819405,34.44746
86,40.234047,35.719402,24.046555
87,33.61249,32.762535,33.624973
88,33.076103,33.555668,33.368233
89,33.931873,32.45406,33.614063
90,32.767868,33.546635,33.6855
91,32.441982,33.45065,34.107372
92,33.19275,33.516617,33.290638
93,33.04898,33.383507,33.567513
94,33.238285,33.53623,33.225487
95,33.317986,32.7229,33.959114
96,33.761852,33.44192,32.796227
97,33.332726,33.35105,33.316223
98,33.927666,32.737835,33.334507
99,33.4783,33.320477,33.201225
100,33.68165,32.750988,33.567364
101,32.913086,33.426334,33.660576
102,33.43221,33.541092,33.0267
103,32.730118,33.95745,33.312428
104,33.345623,33.29364,33.360733
105,33.99962,32.211388,33.78899
106,33.074276,33.482777,33.44294
107,34.18088,33.94274,31.876377
108,32.58683,33.370415,34.04276
109,33.55289,33.37712,33.06999
110,33.13054,33.38162,33.48784
111,33.61865,33.150978,33.230377
112,33.39886,33.27182,33.32932
113,33.098312,34.220303,32.68139
114,33.67153,33.616142,32.712326
115,33.31748,33.24811,33.434418
116,32.365536,34.07909,33.555374
117,32.32623,34.552296,33.121483
118,33.52675,33.166904,33.306347
119,33.10944,33.444004,33.446556
120,32.665546,36.93153,30.402924
121,33.045067,33.759808,33.19512
122,32.75699,34.649647,32.59337
123,33.495888,33.51407,32.990044
124,33.33822,33.325966,33.335815
125,34.013893,33.958656,32.02745
126,32.525066,33.97005,33.504883
127,32.125904,32.13343,35.74067
128,33.472206,33.3942,33.13359
129,33.343296,33.407272,33.24943
130,33.530094,33.886948,32.58296
131,33.598732,33.286564,33.1147
132,33.74017,33.40199,32.857838
133,32.770573,32.35162,34.87781
134,33.539833,32.532074,33.928093
135,32.02785,37.67587,30.296282
136,32.58395,33.3238,34.092255
137,32.196247,34.172325,33.631424
138,33.64232,33.3097,33.04798
139,32.876057,33.62929,33.494656
140,33.180073,33.207256,33.61267
141,33.328926,33.35181,33.319263
142,33.518913,33.906452,32.57463
143,33.80985,33.07731,33.112843
144,34.26587,31.705893,34.028236
145,32.669533,35.399204,31.931263
146,33.24805,33.4856,33.266346
147,33.485516,33.28189,33.232586
148,32.825832,33.88568,33.28849
149,33.059322,34.296646,32.644028
150,32.975014,33.737507,33.287483
151,33.581863,32.963943,33.454193
152,34.35961,33.847004,31.793383
153,32.71778,33.311016,33.971207
154,33.817757,33.737835,32.44441
155,33.934994,32.357113,33.70789
156,33.337845,33.471226,33.190926
157,32.57379,34.95303,32.473175
158,33.23634,32.73582,34.027843
159,33.04169,33.31519,33.64312
160,34.293823,33.603374,32.102802
161,33.56573,33.454933,32.97934
162,33.483177,32.8844,33.632427
163,33.567215,33.14171,33.291077
164,32.602528,32.824295,34.57318
165,32.87467,32.875,34.250336
166,33.311943,33.634136,33.053925
167,34.054913,32.742786,33.2023
168,33.568935,33.672054,32.759014
