,n,?,y
0,34.211506,35.74971,30.038776
1,27.029715,28.635296,44.33499
2,32.203293,33.25282,34.543884
3,26.69689,28.223482,45.079624
4,26.739883,28.22424,45.035877
5,27.444017,29.115538,43.440445
6,39.22226,37.002785,23.774954
7,38.153408,37.406685,24.439898
8,28.864536,30.422792,40.712673
9,39.243008,37.32422,23.432777
10,37.275143,37.308945,25.415915
11,38.95947,37.30746,23.733072
12,27.333715,28.732718,43.933563
13,30.148083,30.948868,38.90305
14,35.338696,35.598278,29.06303
15,32.56484,34.4056,33.029564
16,38.79652,37.435936,23.767544
17,26.961899,28.56928,44.468822
18,34.626324,36.191544,29.182127
19,27.203686,28.806519,43.989796
20,26.695225,28.213905,45.09087
21,34.305496,34.23236,31.462141
22,33.494358,35.197823,31.307823
23,37.91418,37.584057,24.501757
24,39.36027,37.227146,23.41258
25,39.354416,37.280434,23.365145
26,28.480322,30.041828,41.477848
27,39.414303,37.245083,23.340616
28,39.405422,37.17449,23.420092
29,30.946499,31.715826,37.337677
30,28.161255,29.476288,42.36246
31,26.75876,28.238096,45.003147
32,37.17357,35.963066,26.863367
33,26.734188,28.247961,45.01785
34,39.407394,37.243313,23.349289
35,30.673248,32.25759,37.06916
36,36.680466,35.62824,27.691296
37,39.235016,37.275063,23.489918
38,31.598831,33.52933,34.871834
39,39.304535,37.23676,23.458698
40,29.455751,30.757872,39.786373
41,31.821133,33.570972,34.6079
42,26.822254,28.351263,44.826485
43,28.99109,30.42703,40.581875
44,32.842915,33.095333,34.061752
45,26.90126,28.325956,44.772774
46,31.211,32.492496,36.296497
47,26.833546,28.349648,44.81681
48,34.595192,36.526173,28.878632
49,30.083359,31.605145,38.3115
50,38.21179,37.32991,24.458302
51,32.81962,34.044342,33.136036
52,26.860336,28.297937,44.841732
53,37.427948,36.800488,25.77156
54,39.412716,37.201477,23.38581
55,32.097424,34.025265,33.877316
56,27.010912,28.418276,44.570812
57,39.358135,37.285683,23.356188
58,29.138857,30.87953,39.981617
59,27.12981,28.547876,44.322308
60,28.924593,29.91727,41.158127
61,27.679222,29.355408,42.965366
62,26.784292,28.259277,44.956432
63,27.438808,28.822437,43.738758
64,26.699877,28.21552,45.084606
65,26.965994,28.374317,44.659687
66,39.034264,37.08365,23.882086
67,39.316006,37.302624,23.381372
68,26.723719,28.223642,45.052643
69,26.813725,28.274015,44.912262
70,38.9777,37.149406,23.872898
71,35.10294,36.398067,28.498993
72,39.420673,37.244194,23.335127
73,26.687962,28.23641,45.075626
74,39.318066,37.30979,23.37215
75,32.62102,34.38836,32.990627
76,39.197144,37.325954,23.4769
77,39.336334,37.16709,23.496576
78,26.816877,28.26263,44.920506
79,39.12244,37.26199,23.615564
80,39.26068,37.306107,23.433207
81,26.769304,28.266243,44.964455
82,37.453888,37.744328,24.80178
83,26.863495,28.392374,44.744133
84,39.213768,36.974777,23.81145
85,26.703634,28.26342,45.032944
86,28.124985,29.444704,42.43031
87,35.532078,35.90973,28.55819
88,33.197166,34.795666,32.007168
89,30.676123,31.80496,37.51891
90,26.732,28.283056,44.98494
