,republican,democrat
0,87.47198,12.528016
1,12.538693,87.46131
2,13.5310335,86.46897
3,14.454204,85.54579
4,12.398868,87.60113
5,12.412317,87.587685
6,86.99972,13.000281
7,86.594055,13.405941
8,14.211565,85.78844
9,87.452805,12.547195
10,87.00088,12.999125
11,12.4516325,87.54837
12,12.454342,87.545654
13,86.627365,13.372633
14,87.33722,12.662774
15,16.447218,83.55278
16,14.154671,85.84532
17,86.93244,13.067558
18,12.426544,87.57345
19,13.231384,86.768616
20,14.050672,85.94933
21,13.668719,86.331276
22,12.422748,87.57726
23,14.814331,85.18567
24,14.603424,85.39658
25,12.815367,87.18464
26,12.4324665,87.567535
27,86.31142,13.688582
28,14.779526,85.22047
29,87.41696,12.583041
30,12.463562,87.536446
31,12.391598,87.608406
32,87.594086,12.40591
33,12.49588,87.50413
34,85.80825,14.191747
35,86.6417,13.358305
36,86.416534,13.583456
37,85.39346,14.606537
38,12.531781,87.468216
39,12.559069,87.44093
40,12.388965,87.61104
41,14.0433655,85.956635
42,15.533487,84.466515
43,12.446796,87.5532
44,14.712623,85.287384
45,12.416797,87.5832
46,16.06808,83.931915
47,36.32442,63.675583
48,85.22826,14.771745
49,15.905178,84.094826
50,86.1566,13.843398
51,12.703755,87.29625
52,86.66445,13.33555
53,12.463509,87.5365
54,85.4387,14.5613
55,86.978,13.022001
56,87.15338,12.846619
57,85.81648,14.183516
58,87.50265,12.497356
59,15.065001,84.935005
60,85.55042,14.449574
61,12.397298,87.6027
62,12.440377,87.55963
63,15.179608,84.8204
64,87.58673,12.413262
65,86.54062,13.459381
66,86.99331,13.006696
67,13.531394,86.468605
68,12.410948,87.58905
69,13.215916,86.78407
70,86.59642,13.40358
71,13.576448,86.423546
72,86.96849,13.031507
73,13.311744,86.688255
74,13.661313,86.338684
75,12.402023,87.59798
76,14.878595,85.1214
77,12.50999,87.49001
78,87.19089,12.809107
79,12.971733,87.02827
80,12.392532,87.60747
81,84.53008,15.469914
82,86.157425,13.842578
83,86.22349,13.776509
84,12.406161,87.593834
85,84.7354,15.264605
86,87.50058,12.499418
87,12.400144,87.59985
88,87.58474,12.4152565
89,12.471409,87.528595
90,12.395068,87.60493
91,12.495562,87.50445
92,13.586034,86.41396
93,14.128854,85.871155
94,14.14659,85.85342
95,12.409549,87.59045
96,13.656114,86.34388
97,49.80416,50.19584
98,87.51424,12.485756
99,16.152922,83.847084
100,12.577955,87.42205
101,14.876439,85.12356
102,14.768797,85.2312
103,14.373191,85.62681
104,17.607409,82.39259
105,86.35391,13.646078
106,87.36433,12.635679
107,13.655266,86.344734
108,14.949076,85.05093
109,13.044122,86.95588
110,84.82553,15.174468
111,14.326838,85.673164
112,86.58465,13.415353
113,12.439163,87.560844
114,13.681665,86.31833
115,12.403976,87.59602
116,87.51927,12.480734
117,14.5427685,85.45723
118,86.70654,13.293459
119,85.97259,14.02741
120,86.86635,13.133651
121,87.41093,12.589073
122,87.127266,12.87273
123,12.531906,87.468094
124,85.70222,14.297782
125,86.49708,13.502926
126,13.557945,86.44205
127,15.617782,84.38221
128,12.622086,87.377914
129,13.207952,86.79205
130,15.089466,84.91053
131,87.46129,12.538717
132,83.82627,16.173721
133,87.37347,12.626532
134,86.963806,13.036196
135,87.252205,12.747788
136,85.2491,14.750908
137,12.385594,87.6144
138,12.506442,87.49356
139,84.83143,15.168573
140,87.553566,12.446435
141,85.12539,14.874603
142,13.103043,86.89696
143,12.388979,87.61102
144,14.557754,85.442245
145,85.50865,14.491345
146,12.412635,87.58737
147,87.45457,12.545434
148,12.382034,87.617966
149,85.04932,14.950689
150,12.41645,87.58356
151,12.905362,87.09464
152,13.647686,86.35231
153,84.72399,15.276009
154,87.50647,12.49352
155,86.58579,13.414207
156,13.110882,86.889114
157,87.58377,12.4162245
158,13.364726,86.63528
159,12.436515,87.563484
160,12.551085,87.44891
161,12.397085,87.60292
162,86.70041,13.29959
163,14.903853,85.096146
164,14.409867,85.59013
165,84.42149,15.578513
166,86.705986,13.294022
167,12.492856,87.50714
168,14.464516,85.535484
169,12.4136715,87.586334
170,86.8233,13.176698
171,16.356606,83.643394
172,12.799421,87.200584
173,12.46036,87.53964
174,13.7142315,86.28577
175,86.7401,13.259904
176,12.570021,87.42998
177,13.929875,86.07013
178,13.633998,86.366
179,15.468997,84.531
180,14.205736,85.794266
181,13.780829,86.21917
182,13.849475,86.15053
183,12.377369,87.622635
184,12.925325,87.07467
185,14.639327,85.36068
186,14.308497,85.6915
187,87.133316,12.866679
188,12.513115,87.486885
189,87.01964,12.980363
190,84.99332,15.00668
191,15.913237,84.08676
192,12.417467,87.582535
193,13.305084,86.69491
194,87.3686,12.631398
195,13.556865,86.44313
196,87.28857,12.71143
197,12.721875,87.27812
198,12.407138,87.592865
199,12.426435,87.57356
200,12.475861,87.52413
201,12.420117,87.57988
202,12.383321,87.61668
203,86.549446,13.450557
204,12.389851,87.61015
205,86.33269,13.667305
206,85.10081,14.899193
207,12.381516,87.618484
208,12.4282,87.57179
209,12.450279,87.54971
210,87.20996,12.790036
211,12.911379,87.08862
212,13.00696,86.99304
213,87.57846,12.421535
214,14.307693,85.69231
215,12.469886,87.53012
216,85.96106,14.038933
217,12.408493,87.59151
218,12.387945,87.61205
219,13.041848,86.95815
220,15.949901,84.0501
221,12.389107,87.610886
222,87.23491,12.765096
223,86.55625,13.4437475
224,86.738235,13.261766
225,12.383909,87.61609
226,12.431749,87.56825
227,84.36319,15.63681
228,87.3442,12.655801
229,87.10819,12.8918085
230,86.09056,13.909437
231,12.384131,87.615875
232,86.72568,13.274328
233,12.401917,87.59808
234,87.58063,12.419376
235,12.50222,87.49778
236,13.104966,86.89503
237,12.407904,87.5921
238,87.52844,12.471553
239,86.37307,13.626927
240,12.387932,87.61207
