,n,?,y
0,83.360725,8.5731735,8.066101
1,9.580059,81.2553,9.164645
2,83.360725,8.5731735,8.066101
3,8.254623,8.276079,83.4693
4,84.34942,8.079367,7.5712137
5,83.14917,8.679735,8.171093
6,84.41153,8.053838,7.534632
7,83.49711,8.504491,7.998406
8,7.437036,9.277991,83.284966
9,84.33379,8.086717,7.579492
10,84.36079,8.096938,7.542278
11,83.785034,8.359583,7.8553824
12,7.675253,8.252823,84.07193
13,84.250145,8.171886,7.5779653
14,75.2229,13.116524,11.660576
15,7.7705226,8.851561,83.377914
16,12.352233,11.379483,76.26828
17,84.29744,8.140205,7.5623565
18,8.584347,10.085873,81.32979
19,9.299925,9.352822,81.34725
20,8.543465,9.119923,82.33661
21,9.253455,9.016528,81.73001
22,7.9977765,8.884193,83.11803
23,8.600483,8.537409,82.86211
24,11.411303,10.646011,77.94269
25,9.19684,10.812163,79.99099
26,7.61825,9.113537,83.26821
27,10.87257,9.894944,79.23248
28,8.363992,8.51136,83.12465
29,84.12887,8.210733,7.6603994
30,8.235548,8.424876,83.33957
31,8.033345,8.185403,83.78125
32,84.41332,8.056389,7.530292
33,8.529938,8.822259,82.647804
34,84.35461,8.068095,7.577301
35,8.331469,9.111302,82.55723
36,8.412203,8.848511,82.73929
37,83.94262,8.280429,7.776957
38,7.487487,8.105855,84.406654
39,8.069762,8.364444,83.565796
40,8.052865,9.069011,82.87813
41,8.022545,8.770906,83.20655
42,7.381683,8.8489485,83.76937
43,8.5212345,9.4017935,82.076965
44,8.534266,9.217707,82.24802
45,7.7189126,8.780798,83.50029
46,7.418944,8.549317,84.031746
47,7.777573,8.819401,83.40302
48,84.16425,8.169656,7.6660914
49,8.845495,9.197329,81.95718
50,84.400734,8.067865,7.531398
51,8.275258,9.393704,82.33103
52,7.997726,8.657195,83.345085
53,8.122809,8.709644,83.16755
54,83.49711,8.504491,7.998406
55,84.387314,8.078025,7.5346575
56,84.252266,8.17047,7.57726
57,84.406624,8.054969,7.5384035
58,83.291046,8.608268,8.100678
59,7.9292617,8.714682,83.35606
60,84.26497,8.161985,7.5730414
61,8.0058155,8.627422,83.36676
62,8.129497,9.498117,82.37238
63,10.218111,11.267796,78.5141
64,7.768908,8.346636,83.88445
65,84.38962,8.076326,7.5340533
66,84.41264,8.053788,7.5335717
67,12.912686,13.714468,73.37285
68,9.629842,11.477751,78.8924
69,7.8530507,8.840621,83.30633
70,7.5831094,8.961565,83.45533
71,7.9250255,8.519854,83.55513
72,7.6725097,8.4507,83.87679
73,8.748988,8.942803,82.30821
74,84.37373,8.068244,7.558024
75,61.882538,21.610664,16.506802
76,81.954666,9.58278,8.462551
77,8.858695,9.017491,82.12382
78,82.94179,8.782038,8.276175
79,8.816456,9.508308,81.67524
80,8.325006,8.794593,82.88041
81,84.37926,8.083877,7.536868
