,y,?,n
0,78.96827,12.059677,8.9720545
1,84.80351,8.01394,7.1825447
2,85.505066,8.003586,6.491347
3,85.19212,8.164787,6.64309
4,81.666145,10.039947,8.293902
5,9.272648,82.27066,8.4566965
6,73.57016,14.586004,11.843837
7,85.375175,8.123953,6.5008717
8,6.691506,6.905549,86.40295
9,84.42036,8.575932,7.003709
10,82.07876,10.3321705,7.589063
11,85.09085,8.2185335,6.6906147
12,7.0528216,7.297226,85.64995
13,8.214058,84.33066,7.455293
14,85.28172,8.117439,6.600838
15,8.026547,84.72406,7.2493987
16,82.37269,8.404366,9.222941
17,84.26481,8.658901,7.076293
18,6.701369,6.8560057,86.44263
19,8.920106,9.32367,81.756226
20,8.160989,84.976265,6.8627467
21,6.658812,6.833716,86.50747
22,6.6383295,6.8249674,86.5367
23,6.7036815,6.9190755,86.37724
24,6.712548,6.928869,86.35858
25,6.526769,6.8778634,86.59537
26,11.312266,15.627945,73.05979
27,81.95281,9.888153,8.159029
28,7.8124113,8.117826,84.069756
29,82.641396,8.244619,9.113981
30,6.7194486,6.8659334,86.41463
31,85.26772,8.124819,6.60746
32,79.73037,11.028744,9.240891
33,6.6312494,6.8237677,86.544975
34,84.67888,8.438024,6.883089
35,7.8931384,85.34598,6.760881
36,85.470726,8.051287,6.4779825
37,85.40756,8.051753,6.540692
38,82.31244,9.697525,7.9900374
39,6.6340404,6.8238945,86.54207
40,6.675858,6.8423524,86.48179
41,6.629153,6.8249807,86.545876
42,6.6292667,6.8247914,86.545944
43,6.6539354,6.8313875,86.51468
44,8.346963,8.698289,82.95475
45,6.684144,6.897313,86.41854
46,7.351857,7.619782,85.02836
47,8.212979,8.552547,83.23447
48,85.41148,8.066044,6.5224795
49,6.9151087,7.475534,85.60935
50,85.40756,8.051753,6.540692
51,6.641885,6.8262057,86.53191
52,81.82296,9.956933,8.220109
53,6.6846647,6.8469987,86.46833
54,82.61592,9.536475,7.847594
55,83.49857,9.067213,7.4342065
56,85.526276,7.9951577,6.4785733
57,81.82583,10.23899,7.9351826
58,81.29616,10.235652,8.468194
59,6.645216,6.8275213,86.52726
60,82.91491,9.377666,7.7074237
61,7.21641,7.4736276,85.30997
62,6.79563,7.0195274,86.184845
63,7.0464625,8.830401,84.12314
64,84.24235,8.670882,7.086774
65,85.4818,8.014457,6.503758
66,83.61761,9.003839,7.3785553
67,84.98062,8.277183,6.7422004
68,9.462459,9.873418,80.66412
69,81.666145,10.039947,8.293902
70,7.7921247,10.255628,81.95225
71,9.99732,13.2823925,76.72028
72,81.481865,10.137451,8.380679
73,7.2247705,7.4826436,85.29259
74,81.53466,10.109524,8.355812
75,82.8654,9.4039755,7.730627
76,83.28202,9.182463,7.535511
77,76.64006,13.357374,10.0025625
78,76.82988,12.578358,10.591763
79,6.631259,6.832716,86.53602
80,7.7804513,8.332974,83.88657
81,83.30623,9.169586,7.5241847
82,85.528625,7.99451,6.476868
83,85.53299,7.994048,6.4729624
84,83.08717,9.286099,7.626731
85,83.42671,9.105469,7.4678144
86,84.863625,8.339512,6.7968597
