,n,?,y
0,42.55282,37.432003,20.015182
1,31.624104,48.212654,20.163246
2,42.55282,37.432003,20.015182
3,27.218359,31.443306,41.338333
4,43.66079,36.91707,19.422138
5,42.416107,37.47149,20.112402
6,44.212334,36.597294,19.190369
7,42.640434,37.40446,19.955105
8,23.571552,30.727232,45.701214
9,43.601112,36.95035,19.448538
10,45.801945,35.59877,18.599281
11,42.8624,37.31716,19.82044
12,26.85017,32.654945,40.49488
13,47.62696,34.39908,17.973965
14,40.226368,35.008404,24.765228
15,25.476854,30.148693,44.37446
16,30.57083,31.401741,38.027424
17,46.879307,34.89401,18.226688
18,25.418816,30.043749,44.537437
19,27.592949,33.121677,39.285378
20,27.659447,33.36794,38.97261
21,27.77409,32.301556,39.924355
22,27.387932,33.72178,38.890297
23,27.844078,31.668177,40.487747
24,27.272648,31.371805,41.35555
25,28.345078,34.145218,37.509705
26,24.737242,30.418575,44.844177
27,27.24719,30.70106,42.05175
28,27.492937,32.005768,40.5013
29,49.236668,33.286686,17.476645
30,27.545452,31.824642,40.6299
31,26.858282,31.381601,41.760117
32,44.52179,36.409637,19.068579
33,26.751877,33.102493,40.145634
34,44.05795,36.648197,19.29385
35,27.684996,33.046482,39.268524
36,26.32387,33.318787,40.35734
37,43.002052,37.255657,19.74229
38,26.331768,32.158504,41.50973
39,26.75451,32.56456,40.680927
40,27.077425,31.837437,41.085136
41,25.889591,33.422756,40.687656
42,24.205696,31.011435,44.782867
43,27.944002,32.239113,39.81689
44,27.36338,33.892857,38.743763
45,25.558502,30.254677,44.18682
46,25.179995,32.01031,42.80969
47,25.71701,30.450668,43.832317
48,43.252422,37.13504,19.612534
49,28.018766,33.07203,38.9092
50,44.9831,36.12252,18.89438
51,26.752823,31.37899,41.86819
52,27.367294,31.832119,40.80058
53,27.461433,32.94794,39.590626
54,42.640434,37.40446,19.955105
55,45.280384,35.93427,18.785345
56,47.619335,34.404327,17.97634
57,44.09036,36.669876,19.239763
58,42.508007,37.445396,20.046598
59,26.210823,30.968946,42.820232
60,47.40099,34.54906,18.049946
61,25.808832,33.139626,41.051544
62,25.059584,29.792816,45.147602
63,29.170334,33.821163,37.008507
64,26.45572,32.905457,40.63882
65,45.23602,35.962452,18.801527
66,44.255814,36.571358,19.172829
67,31.742647,33.00769,35.24967
68,29.07927,33.77832,37.142414
69,26.238388,30.85504,42.90657
70,24.26441,29.588524,46.14706
71,27.2827,32.808285,39.90901
72,26.12952,30.964148,42.906334
73,27.578678,32.914413,39.50691
74,43.778015,36.851044,19.370941
75,39.337616,38.38265,22.279736
76,40.974205,38.933174,20.092627
77,26.570814,32.86407,40.565117
78,42.154278,37.62638,20.219343
79,27.186188,34.946884,37.86693
80,27.404934,33.236774,39.35829
81,45.454235,35.8229,18.722866
82,45.015553,36.102055,18.88239
83,44.680134,36.311916,19.007952
84,43.213306,37.154457,19.632235
85,43.66079,36.91707,19.422138
86,42.973824,37.268986,19.757196
87,42.289215,37.497684,20.213102
88,44.227543,36.58819,19.184265
89,26.962727,31.526443,41.51083
90,28.875473,33.193493,37.931034
91,29.586666,33.424282,36.98905
92,26.390562,31.227413,42.38203
93,24.09041,28.703537,47.206055
94,27.462643,32.60807,39.929287
95,47.43393,34.5269,18.039167
96,25.383972,30.950588,43.66544
97,24.816263,33.261715,41.922028
98,43.614967,36.942757,19.442276
99,27.843979,32.21952,39.9365
100,30.11963,32.964752,36.915623
101,26.901499,31.711945,41.38656
102,29.526394,30.53966,39.93395
103,30.19941,49.773888,20.026709
104,27.53041,34.754555,37.715034
105,44.24366,36.578476,19.177856
106,42.849487,37.322693,19.827814
107,26.532177,31.226612,42.241215
108,28.164894,31.758053,40.077057
109,46.02136,35.456432,18.522213
110,44.87092,36.192997,18.936087
111,44.376,36.49891,19.125095
112,41.676624,37.22334,21.100042
113,22.353695,26.990181,50.656128
114,40.764412,36.17133,23.064262
115,28.281757,32.119503,39.598736
116,24.674639,32.51345,42.81191
117,49.01579,33.47328,17.51093
118,51.450157,31.831577,16.718267
