,y,n,?
0,85.57795,7.9578185,6.4642353
1,89.29928,6.434025,4.2666907
2,89.30973,6.360351,4.3299127
3,88.36167,6.9071794,4.7311482
4,89.465126,6.2985272,4.23635
5,85.87436,8.3515625,5.7740784
6,89.55451,6.1896214,4.255871
7,89.45677,6.3060856,4.2371435
8,89.63258,6.1292186,4.2382026
9,89.29213,6.3702173,4.3376555
10,83.91392,8.7898245,7.2962575
11,89.43993,6.320695,4.2393694
12,89.45229,6.3100314,4.23767
13,89.46895,6.294941,4.2361026
14,89.50875,6.202089,4.2891665
15,6.9906473,83.5105,9.49886
16,4.307982,7.704144,87.98788
17,89.70569,5.955385,4.3389297
18,85.26575,8.419515,6.314735
19,89.63297,5.964768,4.4022503
20,89.43143,6.2944727,4.2740974
21,4.21147,7.7701488,88.01838
22,82.41249,11.608558,5.978956
23,5.8554997,86.37429,7.7702074
24,7.2799296,82.894936,9.825133
25,6.0552006,85.93498,8.00981
26,89.48469,6.277596,4.2377124
27,6.727212,85.49855,7.7742405
28,88.29094,6.7044377,5.0046225
29,84.39406,7.4820504,8.123892
30,89.350685,6.3934393,4.255883
31,89.487465,6.276437,4.2360992
32,89.71528,5.9864225,4.2982945
33,89.483505,6.2261777,4.2903175
34,85.37272,8.471725,6.1555643
35,4.4123197,7.5769773,88.010704
36,89.459366,6.303769,4.236867
37,89.379196,6.32203,4.2987733
38,5.8156643,86.445274,7.739051
39,89.4532,6.3092337,4.2375574
40,89.40965,6.3459315,4.2444153
41,38.938274,33.46572,27.596008
42,8.1304,84.73959,7.1300163
43,87.47186,6.982215,5.545918
44,84.09911,8.316672,7.584215
45,89.36111,6.385129,4.2537613
46,6.529591,84.62676,8.843646
47,88.54317,6.6437354,4.8130946
48,4.5337996,7.5071654,87.95903
49,86.89877,7.394885,5.706337
50,89.46957,6.2766495,4.2537904
51,89.43281,6.0415273,4.5256686
52,89.30111,6.365181,4.3337126
53,89.337875,6.4036026,4.2585263
54,89.23043,6.4050684,4.364504
55,89.632256,6.1075816,4.260161
56,88.380936,6.7987003,4.820358
57,89.46271,6.300741,4.2365484
