,y,?,n
0,82.18825,10.407548,7.4042134
1,77.498955,13.678366,8.822686
2,12.303675,74.78015,12.916172
3,80.26642,11.694149,8.039434
4,83.11992,9.627602,7.252477
5,83.53495,9.6860895,6.778954
6,83.90334,9.386151,6.710507
7,82.465576,10.323073,7.2113476
8,10.211832,13.353684,76.43449
9,78.00414,12.617948,9.377909
10,81.933334,10.726229,7.340437
11,8.661986,10.7353525,80.60266
12,7.244726,10.388268,82.36701
13,80.31822,12.239662,7.442116
14,62.84966,13.834689,23.315647
15,6.9722376,9.948849,83.07891
16,8.148132,11.586628,80.26524
17,61.977448,16.812922,21.20963
18,9.671448,11.630407,78.69814
19,7.7937627,11.620053,80.58618
20,7.3212852,9.6786995,83.000015
21,8.427054,10.937358,80.63559
22,6.71254,10.076677,83.21078
23,10.403659,11.147358,78.44898
24,7.0645866,9.180084,83.75533
25,7.1272187,10.518776,82.354004
26,6.607833,9.790377,83.60179
27,74.69581,14.724321,10.57987
28,7.0393505,9.6568775,83.30377
29,80.816284,11.42872,7.754999
30,16.44247,42.075207,41.48232
31,8.934606,10.949842,80.115555
32,81.14387,11.222892,7.633246
33,6.7829666,10.138047,83.07899
34,82.522964,10.54052,6.9365196
35,83.66551,9.544533,6.789949
36,83.301315,9.706928,6.9917517
37,83.05773,10.060536,6.881735
38,6.6683316,9.157911,84.17376
39,8.284312,11.281865,80.43383
40,8.927928,10.771905,80.30016
41,7.004284,9.7122755,83.28344
42,6.997767,9.648703,83.35353
43,7.0003533,10.02515,82.9745
44,6.7523413,10.104664,83.143
45,8.546364,11.254864,80.19878
46,11.178909,12.399821,76.42127
47,7.400752,11.493029,81.10622
48,83.31175,9.780143,6.9080987
49,11.923395,14.20883,73.867775
50,82.20316,10.474626,7.3222117
51,6.7130456,10.108269,83.178696
52,82.48601,10.2647915,7.249198
53,8.857159,11.819712,79.32313
54,73.77432,15.986011,10.239662
55,73.34028,13.590622,13.069099
56,83.96253,9.414286,6.6231833
57,81.66489,10.822571,7.512542
58,83.61986,9.614589,6.7655573
59,8.799906,9.791036,81.40906
60,83.19332,9.828021,6.9786615
61,7.2841225,10.553589,82.16229
62,10.161428,12.966995,76.871574
63,11.18105,12.449373,76.369576
64,83.92102,9.444516,6.6344604
65,81.76569,10.754519,7.4797845
66,79.17408,12.749049,8.076872
67,8.421211,12.405217,79.17357
68,6.7558303,9.784075,83.4601
69,7.6742916,11.410339,80.91537
70,6.793088,9.463985,83.742935
71,7.3752003,10.595194,82.0296
72,81.0035,11.108323,7.888185
73,9.076474,10.875512,80.04801
74,82.39063,10.504073,7.1052985
75,83.50886,9.646428,6.8447104
76,81.7076,10.884854,7.407547
77,81.19445,11.047828,7.7577324
78,83.213234,9.989383,6.7973824
79,6.9000163,9.998021,83.10196
80,7.0185313,9.805981,83.17548
81,81.85975,10.61351,7.526738
82,81.0132,11.041624,7.9451756
83,82.41557,10.34869,7.235734
84,80.40672,11.9719305,7.6213427
85,83.79153,9.502997,6.705468
86,82.5054,10.370716,7.123881
87,83.78071,9.571022,6.648269
88,78.43497,12.8441925,8.720838
89,8.2994995,10.84428,80.85622
90,6.870313,11.229847,81.89984
91,7.7824035,10.904133,81.31347
92,7.574562,10.160465,82.26497
93,83.26624,9.742504,6.9912596
94,82.70178,10.3345785,6.9636383
95,83.06686,9.983544,6.9495983
96,77.85112,13.88596,8.262922
97,8.671759,9.865586,81.462654
98,83.00862,10.087635,6.903743
99,77.8555,13.867728,8.276776
100,66.506905,13.401757,20.091343
101,77.54735,12.768872,9.683777
102,83.14821,10.068445,6.783349
103,8.696891,11.548583,79.754524
104,8.264876,9.74683,81.9883
105,81.06166,11.251383,7.6869545
106,9.2932205,81.39134,9.315439
107,9.431513,11.0211525,79.54733
108,6.8001723,11.331375,81.868454
109,7.8070374,15.114082,77.07888
110,83.53192,9.858498,6.60958
111,6.7849526,9.339169,83.87588
112,83.749825,9.498296,6.75188
113,10.467897,11.774937,77.75717
114,9.3750105,81.144104,9.480889
115,7.051106,10.614441,82.33445
116,82.48587,10.474757,7.039376
117,6.7479944,9.68145,83.57056
118,82.527565,10.335703,7.136736
119,76.437614,14.361954,9.200436
120,83.520195,9.689881,6.7899218
121,82.99875,9.869833,7.131415
122,83.12663,9.981245,6.892113
123,13.200066,11.912935,74.88699
124,81.85587,10.8342905,7.309834
125,82.577995,10.247914,7.174088
126,6.6341624,10.957437,82.4084
127,7.9512224,10.097549,81.951225
128,8.094685,11.477765,80.42755
129,10.424238,79.88165,9.694111
130,7.319828,10.564671,82.11549
131,82.59619,10.375638,7.0281663
132,77.7651,13.518201,8.716704
133,82.98366,10.0391,6.9772453
134,20.445698,19.656548,59.897762
135,83.079926,9.94578,6.9742994
136,8.640498,11.233131,80.126366
137,7.589751,11.678493,80.73176
138,6.5936737,9.953542,83.45278
139,10.17214,12.629869,77.19799
140,82.30289,10.418005,7.2791047
141,81.528145,11.137873,7.3339925
142,6.5506177,9.914317,83.53507
143,7.43816,9.258014,83.303825
144,8.113832,9.401551,82.48462
